pincode,state,district,subDistrict,locality
110003,DELHI,SOUTH EAST DELHI,Defence Colony,Aliganj
110014,DELHI,SOUTH EAST DELHI,Defence Colony,Jeewan Nagar
110020,DELHI,SOUTH EAST DELHI,Defence Colony,Tehkhand
110025,DELHI,SOUTH EAST DELHI,Defence Colony,Zakir Nagar SO
110036,DELHI,NORTH DELHI,Alipur,Mungeshpur
110039,DELHI,NORTH DELHI,Alipur,Daryapur Village
110040,DELHI,NORTH WEST DELHI,Rohini,Sanoth Village
110042,DELHI,NORTH DELHI,Alipur,Sahabad Dairy
110044,DELHI,SOUTH EAST DELHI,Kalkaji,Molar Band
110046,DELHI,WEST DELHI,Rajouri Garden,Jagdamba Bihar
110049,DELHI,SOUTH EAST DELHI,Defence Colony,Shahpur Jat
110054,DELHI,NORTH DELHI,Alipur,Majnu Ka Tilla area
110056,DELHI,NORTH WEST DELHI,Saraswati Vihar,New Multan Nagar Village
110062,DELHI,SOUTH DELHI,Hauz Khas,Deoli
110071,DELHI,SOUTH WEST DELHI,Najafgarh,Goyla Khurd
110076,DELHI,SOUTH EAST DELHI,Kalkaji,Ali BO
110085,DELHI,NORTH WEST DELHI,Rohini,Naharpur
110086,DELHI,NORTH WEST DELHI,Rohini,"Prem Nagar, Agar Nagar"
110090,DELHI,NORTH EAST DELHI,Karawal Nagar,gokulpuri
121001,HARYANA,FARIDABAD,Faridabad,Faridabad
121002,HARYANA,FARIDABAD,Faridabad,Badshahpur(140)
121003,HARYANA,FARIDABAD,Faridabad,ANANGPUR
121004,HARYANA,FARIDABAD,Ballabgarh,AMAN BHATTA
121005,HARYANA,FARIDABAD,Faridabad,Faridabad
121006,HARYANA,FARIDABAD,Faridabad,Faridabad
121007,HARYANA,FARIDABAD,Faridabad,ESCORTS CONSTRUTIONS
121008,HARYANA,FARIDABAD,Faridabad,Faridabad
121009,HARYANA,FARIDABAD,Faridabad,Faridabad
121010,HARYANA,FARIDABAD,Faridabad,ARAWALI COLLEGE
121012,HARYANA,FARIDABAD,Faridabad,ankhir
121013,HARYANA,FARIDABAD,Faridabad,Faridabad
121101,HARYANA,FARIDABAD,Ballabgarh,Alipur(106)
121102,HARYANA,FARIDABAD,Faridabad,Alawalpur(30)
121103,HARYANA,FARIDABAD,Hathin,Andhrola(236)
121105,HARYANA,FARIDABAD,Hodal,Deeghot(135)
121106,HARYANA,FARIDABAD,Hodal,Buraka(91)
121107,HARYANA,FARIDABAD,Hodal,Bhiduki(99)
122001,HARYANA,MAHENDRAGARH,Narnaul,Akbarpur Sirohi(205)
122002,HARYANA,GURGAON,Gurgaon,Gurgaon
122003,HARYANA,GURGAON,Gurgaon,Wazirabad(75)
122004,HARYANA,GURGAON,Gurgaon,Khandsa(104)
122005,HARYANA,GURGAON,Gurgaon,Gurgaon
122006,HARYANA,GURGAON,Gurgaon,Allawardi(56)
122007,HARYANA,GURGAON,Gurgaon,Gurgaon
122008,HARYANA,GURGAON,Gurgaon,Gurgaon
122009,HARYANA,GURGAON,Gurgaon,Gurgaon
122010,HARYANA,GURGAON,Gurgaon,Gurgaon
122011,HARYANA,GURGAON,Gurgaon,Gurgaon
122015,HARYANA,GURGAON,Gurgaon,Gurgaon
122016,HARYANA,GURGAON,Gurgaon,Gurgaon
122017,HARYANA,GURGAON,Gurgaon,Cartarpuri Alias Daulatpur Nasirabad (63
