Product Name,Category,Sub-category,Techncal composition,SKU,Duration (only for Seeds),Type of grain/fruit,Seed rate,Crop/Target Crop,Insect/Disease/Deficiency,Dosage,Time of sowing /Time of application,Method of application,Geographies,Disclaimer,Season,1 lineShort Description,"USP's (For CCC, Include mode of action here)",Product Unique ID*,SKU FG Code*,Additional Information,Status*
SHRIRAM POSHAK,Plant Nutrition,NPK Based,NPK (19:19:19),"1kg, 10kg, 25kg",,,,All Crops,,1.5-2 kg/ acre,At Vegetative Growth stage,Foliar & Fertigation,All India,,"Rabi, Kharif",Balanced nutrition for rapid root growth & lush vegetative development.,"Helps in root development & vegetative growth
Boosts irrigation efficiency
Low salt index & chloride content",Dummy1,DummyFG1,Add information for searchability,Active
SHRIRAM SHAKTI,Plant Nutrition,NPK Based,NPK (20:20:20),"1kg, 10kg, 25kg",,,,All Crops,,1.5-2 kg/ acre,At Vegetative Growth stage,Foliar & Fertigation,All India,,"Rabi, Kharif",Power-packed growth booster with uniform nutrient supply for all crops.,"Helps in root development & vegetative growth
Boosts irrigation efficiency
Low salt index & chloride content",Dummy2,DummyFG2,Add information for searchability,Active
SHRIRAM SATHI,Plant Nutrition,NPK Based,NPK (00:52:34),"1kg, 10kg, 25kg",,,,All Crops,,1.5-2 kg/ acre,At Flowering Initiation stage,Foliar & Fertigation,All India,,"Rabi, Kharif","Accelerates flowering, improves fruit quality & extends shelf life.","More fruit & grain formation with quick ripening
Improves fruit quality and shelf life
Free of Chloride & Sodium; 100% plant nutrients",Dummy3,DummyFG3,Add information for searchability,Active
SHRIRAM PRABAL,Plant Nutrition,NPK Based,NPK (13:00:45),"1kg, 10kg, 25kg",,,,All Crops,,1.5-2 kg/ acre,At Flowering Initiation stage & During Fruit Development stage,Foliar & Fertigation,All India,,"Rabi, Kharif","Enhances fruit size, taste & dry matter; boosts stress tolerance.","Enhances fruit size, taste & shelf-life
Improves total dry matter content in the fruit
Resistance against drought, frost & diseases",Dummy4,DummyFG4,Add information for searchability,Active
SHRIRAM MAP,Plant Nutrition,NPK Based,NPK (12:61:00),"1kg, 10kg, 25kg",,,,All Crops,,1.5-2 kg/ acre,At Vegetative Growth stage,Foliar & Fertigation,All India,,"Rabi, Kharif",High-phosphorus formula for strong root growth & early plant vigor.,"Highly-concentrated source of phosphorus
Moderately low pH; free of Chloride & Sodium
Facilitates the uptake of phosphorus present in the soil",Dummy5,DummyFG5,Add information for searchability,Active
SHRIRAM PUSHTI,Plant Nutrition,NPK Based,NPK (13:40:13),"1kg, 10kg, 25kg",,,,All Crops,,1.5-2 kg/ acre,At Root Development stage & Vegetative stage,Foliar & Fertigation,All India,,"Rabi, Kharif",Builds strong plant structure with balanced flowering & faster ripening.,"Strengthens plant structure to bear higher load
More fruit & grain formation with quick ripening
Low salt index & chloride content",Dummy6,DummyFG6,Add information for searchability,Active
SHRIRAM SOP,Plant Nutrition,NPK Based,NPKS (00:00:50 & 17.5% S),"1kg, 10kg, 25kg",,,,All Crops,,1.5-2 kg/ acre,At Fruit Formation stage and During Grain Development stage,Foliar & Fertigation,All India,,"Rabi, Kharif",Ideal for oilseeds & chloride-sensitive crops; enhances yield & stress resistance.,"Improves quantity & quality of oil in oilseeds 
Highly suitable for Chloride-sensitive crops
Resistance against drought, frost & diseases",Dummy7,DummyFG7,Add information for searchability,Active
SHRIRAM ENERGY (Soil),Plant Nutrition,Secondary Nutrients,"Calcium Nitrate (Ca 18.5%, N 15.5%)","5kg, 10kg, 25kg",,,,All Crops,,25 kg/acre,At Sowing stage or At First Irrigation,Basal & Broadcasting,All India,,"Rabi, Kharif",Enhances root development and fruit finish by improving cell structure; reduces cracking and post-harvest losses.,"Key role in cell structure and permeability
Reduces cracking and improves skin finish of fruits
Improves the growth of root glands and keeps symbiotic bacteria more active
Minimizes post harvest losses",Dummy8,DummyFG8,Add information for searchability,Active
SHRIRAM FORZA,Plant Nutrition,Secondary Nutrients/ Micronutrient,"Boronated Calcium Nitrate (Ca 17.1%, N 14.6%, B 0.25%)","1kg, 5kg, 10kg, 25kg",,,,All Crops,,25 kg/acre,At Sowing stage or At First Irrigation,Basal & Broadcasting,All India,,"Rabi, Kharif","Supports strong fruit set, reduces premature drop, and improves produce appearance and shelf life.","Reduces cracking and improves skin finish of fruits
Improves fruit set and reduces drop
Increases shelf-life of the produce",Dummy9,DummyFG9,Add information for searchability,Active
SHRIRAM SULFO MAX,Plant Nutrition,Secondary Nutrients,Sulphur 90% Powder - Super Active,"1kg, 1.5kg, 3kg, 30kg",,,,All Crops,,3-6 kg/acre,Within 30-60 DAS,Broadcasting,All India,,"Rabi, Kharif","Balances soil pH, promotes greener canopy, and enhances flavour and oil content in spices and oilseeds.","Improves soil pH leading to higher nutrient availability
Increases biomass, plant canopy & soil health
Enhances pungency in onion, garlic and chilly
Improves nodulation in legume crops",Dummy10,DummyFG10,Add information for searchability,Active
