productId,salesRs,brRs,repeatCount
dummy1,138712,38839,6
dummy2,15121,4839,6
dummy3,110115,52855,3
dummy4,169327,47412,3
dummy5,131497,46024,4
dummy6,117437,56370,4
dummy7,53286,21847,3
dummy8,106029,27568,3
dummy9,156267,40629,3
dummy10,146886,74912,0
dummy11,154297,75606,5
dummy12,105632,30633,0
dummy13,175404,75424,5
dummy14,165657,74546,2
dummy15,86401,41472,0
dummy16,135377,69042,3
dummy17,163066,40767,5
dummy18,62458,31229,6
dummy19,110026,59414,4
dummy20,38692,15090,8
dummy21,154440,58687,4
dummy22,127463,35690,3
dummy23,136918,52029,4
dummy24,34419,16521,0
dummy25,90114,47760,8
dummy26,99989,28997,1
dummy27,78766,20479,8
dummy28,73959,24406,4
dummy29,39073,17583,1
dummy30,167848,83924,1
dummy31,110837,54310,1
dummy32,50257,13569,3
dummy33,108099,27025,4
dummy34,27595,11314,8
dummy35,108335,59584,1
dummy36,150161,61566,3
dummy37,83316,41658,7
dummy38,147409,44223,3
dummy39,66967,19420,7
dummy40,20414,10615,8
dummy41,128116,35872,5
dummy42,100308,31095,8
dummy43,118564,30827,7
dummy44,166675,78337,0
dummy45,167644,75440,4
dummy46,103529,43482,2
dummy47,50282,22124,8
dummy48,92136,27641,8
dummy49,145896,80243,8
dummy50,79248,42794,6
dummy51,120046,42016,6
dummy52,124217,49687,6
dummy53,161227,69328,0
dummy54,102426,52237,6
dummy55,92675,37997,3
dummy56,42552,18723,8
dummy57,110737,60905,3
dummy58,78962,23689,6
dummy59,23272,12800,5
dummy60,75335,27874,5
dummy61,49604,20834,2
dummy62,33205,16935,6
dummy63,114732,28683,4
dummy64,78273,32092,3
dummy65,93096,48410,8
dummy66,70268,25296,8
dummy67,130825,36631,6
dummy68,177782,81780,2
dummy69,115588,52015,3
dummy70,43006,18493,2
dummy71,132669,59701,0
dummy72,64447,32224,0
dummy73,151895,69872,0
dummy74,89321,40194,6
dummy75,25951,7266,8
dummy76,51223,21514,4
dummy77,151888,68350,3
dummy78,26901,9953,3
dummy79,109409,45952,7
dummy80,59604,27418,4
dummy81,23229,10453,4
dummy82,161804,79284,5
dummy83,57088,18839,4
dummy84,169799,42450,4
dummy85,100679,27183,5
dummy86,157236,72329,5
dummy87,56699,24381,6
dummy88,24485,11753,8
dummy89,50691,26359,8
dummy90,32439,11029,8
dummy91,178861,51870,2
dummy92,107891,36683,7
dummy93,111169,32239,8
dummy94,40745,21595,5
dummy95,134083,53633,1
dummy96,177684,53305,0
dummy97,29344,11444,7
dummy98,131148,34098,8
dummy99,131213,62982,7
dummy100,120223,62516,7
dummy101,169454,57614,0
dummy102,135092,63493,0
dummy103,76096,31199,1
dummy104,175597,82531,2
dummy105,51228,25102,1
dummy106,159445,76534,0
dummy107,102006,33662,8
dummy108,131942,51457,6
dummy109,168525,89318,3
dummy110,38140,13349,1
dummy111,91301,37433,6
dummy112,58790,28219,2
dummy113,141977,61050,1
dummy114,93284,25187,7
dummy115,60026,23410,5
dummy116,95710,46898,0
dummy117,35738,12151,6
dummy118,96653,50260,3
dummy119,52178,22958,0
dummy120,147994,79917,3
dummy121,26891,14252,0
dummy122,33983,9175,8
dummy123,24276,12138,0
dummy124,154444,44789,1
dummy125,23077,11077,0
dummy126,66991,31486,7
dummy127,93384,33618,7
dummy128,169901,57766,1
dummy129,57296,17762,8
dummy130,157511,63004,2
dummy131,101440,25360,8
dummy132,41166,17701,7
dummy133,37772,13976,4
dummy134,134108,33527,8
dummy135,161080,46713,2
dummy136,142589,76998,4
dummy137,170022,79910,8
dummy138,61651,24660,2
dummy139,92555,25915,3
dummy140,155926,54574,2
dummy141,65199,24776,3
dummy142,156658,54830,2
dummy143,61755,25320,2
dummy144,135617,71877,0
dummy145,132926,49183,1
dummy146,60230,16864,4
dummy147,142056,42617,1
dummy148,57627,17864,4
dummy149,42937,15028,1
dummy150,70902,37578,6
dummy151,179003,57281,5
dummy152,17514,7006,4
dummy153,166749,60030,6
dummy154,172842,74322,2
dummy155,41652,10413,0
dummy156,57807,31794,0
dummy157,21501,7310,1
dummy158,22952,7115,7
dummy159,161830,79297,7
dummy160,135560,33890,0
dummy161,121235,50919,4
dummy162,148079,75520,7
dummy163,90695,48068,1
dummy164,116081,56880,3
dummy165,114013,28503,1
dummy166,165102,46229,6
dummy167,160477,59376,8
dummy168,77114,27761,6
dummy169,78766,31506,5
dummy171,37419,16839,4
dummy172,42262,10988,1
dummy173,116461,33774,4
dummy180,42551,13191,0
dummy184,101862,47875,6
dummy189,44519,20479,2
dummy212,80059,29622,0
dummy214,156780,61144,6
dummy217,120410,57797,1
dummy234,26265,12607,8
dummy237,64347,27026,4
dummy243,35427,12754,4
dummy246,91231,23720,5
dummy248,99593,44817,7
dummy260,160044,41611,8
dummy263,134559,52478,8
dummy276,109505,47087,5
dummy278,163856,67181,0
dummy279,178515,76761,0
dummy280,110783,35451,3
dummy288,92194,27658,3
dummy289,37324,13810,0
dummy290,53947,26974,2
dummy291,109665,59219,0
dummy292,124398,49759,2
dummy312,77533,24035,3
dummy324,26489,12185,0
dummy331,177070,86764,5
dummy332,155228,41912,8
dummy338,22643,9963,5
dummy348,116178,32530,1
dummy353,140465,73042,3
dummy360,55255,22655,7
dummy363,58006,31903,6
dummy365,174699,80362,0
dummy373,146147,73074,3
dummy375,114952,43682,5
dummy389,146770,61643,3
dummy398,64129,25010,5
dummy399,102092,46962,1
dummy401,160289,56101,7
dummy415,116837,35051,5
dummy418,83402,36697,8
dummy429,44115,11911,2
dummy431,79992,26397,4
dummy432,104696,45019,5
dummy442,124199,50922,6
dummy449,55950,24618,5
dummy456,41774,11279,7
dummy473,44713,14308,0
dummy481,56909,14227,1
dummy482,147071,45592,7
dummy483,59825,22135,7
dummy484,145920,39398,7
dummy485,169790,79801,3
dummy486,20999,6300,5
dummy487,77212,39378,8
dummy502,26409,6866,2
dummy504,169203,42301,4
dummy505,46579,13974,6
dummy507,82083,32012,3
dummy510,41171,22232,5
dummy511,88031,46656,8
dummy516,107733,30165,3
dummy518,133059,49232,7
dummy519,61074,17711,1
dummy520,155733,85653,0
dummy521,75195,22559,3
dummy529,50000,23500,3
dummy530,78369,32915,5
dummy531,127689,67675,3
dummy532,26539,6900,6
dummy533,32735,17350,4
dummy534,49544,12881,6
dummy535,26883,9678,8
dummy536,25812,12132,1
dummy537,44488,12457,8
dummy538,110509,60780,7
dummy539,36507,13873,5
