productId,salesRs,brRs,repeatCount
dummy1,36401,17836,7
dummy2,10230,3171,7
dummy3,121434,36430,4
dummy4,37944,18972,0
dummy5,92657,40769,0
dummy6,47497,26123,3
dummy7,25458,9165,6
dummy8,101996,26519,7
dummy9,23484,8454,4
dummy10,22997,6669,8
dummy11,46906,15479,8
dummy12,106143,35027,8
dummy13,22754,5916,7
dummy14,101985,28556,3
dummy15,26866,6717,6
dummy16,43650,13095,4
dummy17,103398,38257,6
dummy18,125028,45010,2
dummy19,135051,72928,3
dummy20,84606,41457,4
dummy21,88107,26432,8
dummy22,11089,3659,5
dummy23,123817,38383,6
dummy24,124196,42227,3
dummy25,11395,5811,0
dummy26,27463,9063,3
dummy27,69964,27986,0
dummy28,44746,16109,5
dummy29,47903,23952,3
dummy30,18193,8187,8
dummy31,118738,58182,6
dummy32,89575,25081,4
dummy33,14472,4776,2
dummy34,28370,14469,4
dummy35,46872,11718,2
dummy36,39919,20359,6
dummy37,11484,5627,3
dummy38,139477,34869,4
dummy39,86350,47493,8
dummy40,56191,23600,2
dummy41,130939,66779,4
dummy42,18968,7587,3
dummy43,53179,26058,3
dummy44,80436,36196,4
dummy45,50706,19268,5
dummy46,64946,19484,6
dummy47,91757,28445,0
dummy48,26006,9882,1
dummy49,94748,46427,0
dummy50,74254,29702,7
dummy51,27219,9799,3
dummy52,34708,16313,2
dummy53,27234,13617,5
dummy54,23596,10618,0
dummy55,44480,20016,1
dummy56,128772,59235,3
dummy57,40343,19768,6
dummy58,25541,10727,4
dummy59,39207,13722,6
dummy60,40326,15727,7
dummy61,45756,14184,4
dummy62,86366,31092,5
dummy63,114177,38820,8
dummy64,81113,34879,5
dummy65,49591,22812,2
dummy66,115992,48717,1
dummy67,94141,27301,5
dummy68,68225,20468,0
dummy69,133019,35915,2
dummy70,86303,40562,2
dummy71,104491,42841,5
dummy72,48586,14576,3
dummy73,84998,32299,7
dummy74,45104,22552,6
dummy75,29204,10221,0
dummy76,74919,24723,7
dummy77,43788,21456,2
dummy78,22563,9928,6
dummy79,99658,49829,6
dummy80,66989,18087,0
dummy81,50796,24382,5
dummy82,46175,11544,2
dummy83,106682,43740,1
dummy84,17408,6789,0
dummy85,61697,30232,6
dummy86,12448,4357,7
dummy87,13712,5896,2
dummy88,139203,37585,4
dummy89,10068,4833,1
dummy90,71590,27204,6
dummy91,113285,61174,7
dummy92,41282,22292,4
dummy93,112586,31524,0
dummy94,88269,30011,2
dummy95,12015,6368,8
dummy96,27625,8564,4
dummy97,36376,13095,5
dummy98,76945,42320,6
